availableScenarioEnergy,configurationSuitability,currentMissionMode,enduranceFeasibility,energyMargin,flightFeasibility,lowBatteryTriggered,missionComplete,missionEnergyTotal,missionTime,remainingScenarioEnergy,returnedEarly,returnEnergyRequired,tier1EnergyIncrement,sentry.thrustMargin,sentry.platform.patrolSpeed,sentry.platform.power.batteryMass,sentry.platform.propulsion.motorSizeFactor,sentry.platform.propulsion.propellerDiameter,sentry.payload.spotlight.spotlightOnLoad,sentry.payload.speaker.speakerOnLoad
5.5440E5,false,MISSION_FAIL,false,-48805.2000,false,false,false,6.0321E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,15.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-50245.2000,false,false,false,6.0465E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,15.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-50365.2000,false,false,false,6.0477E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,25.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-51805.2000,false,false,false,6.0621E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,25.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-53245.2000,false,false,false,6.0765E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,25.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-53365.2000,false,false,false,6.0777E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,35.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-54805.2000,false,false,false,6.0921E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,35.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-56245.2000,false,false,false,6.1065E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,35.0000,26.0000
5.5440E5,false,MISSION_FAIL,true,4552.0909,false,false,false,5.4985E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,15.0000,10.0000
5.5440E5,false,MISSION_FAIL,true,3112.0909,false,false,false,5.5129E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,15.0000,18.0000
5.5440E5,false,MISSION_FAIL,true,1672.0909,false,false,false,5.5273E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,15.0000,26.0000
5.5440E5,false,MISSION_FAIL,true,1552.0909,false,false,false,5.5285E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,25.0000,10.0000
5.5440E5,false,MISSION_FAIL,true,112.0909,false,false,false,5.5429E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,25.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-1327.9091,false,false,false,5.5573E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,25.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-1447.9091,false,false,false,5.5585E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,35.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-2887.9091,false,false,false,5.5729E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,35.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-4327.9091,false,false,false,5.5873E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,5.5000,1.1000,2.5000,0.2500,35.0000,26.0000
6.5520E5,false,MISSION_FAIL,false,-27285.2667,false,false,false,6.8249E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,15.0000,10.0000
6.5520E5,false,MISSION_FAIL,false,-28725.2667,false,false,false,6.8393E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,15.0000,18.0000
6.5520E5,false,MISSION_FAIL,false,-30165.2667,false,false,false,6.8537E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,15.0000,26.0000
6.5520E5,false,MISSION_FAIL,false,-30285.2667,false,false,false,6.8549E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,25.0000,10.0000
6.5520E5,false,MISSION_FAIL,false,-31725.2667,false,false,false,6.8693E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,25.0000,18.0000
6.5520E5,false,MISSION_FAIL,false,-33165.2667,false,false,false,6.8837E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,25.0000,26.0000
6.5520E5,false,MISSION_FAIL,false,-33285.2667,false,false,false,6.8849E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,35.0000,10.0000
6.5520E5,false,MISSION_FAIL,false,-34725.2667,false,false,false,6.8993E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,35.0000,18.0000
6.5520E5,false,MISSION_FAIL,false,-36165.2667,false,false,false,6.9137E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,4.5000,1.3000,2.5000,0.2500,35.0000,26.0000
6.5520E5,false,MISSION_FAIL,true,37895.7600,false,false,false,6.1730E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,15.0000,10.0000
6.5520E5,false,MISSION_FAIL,true,36455.7600,false,false,false,6.1874E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,15.0000,18.0000
6.5520E5,false,MISSION_FAIL,true,35015.7600,false,false,false,6.2018E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,15.0000,26.0000
6.5520E5,false,MISSION_FAIL,true,34895.7600,false,false,false,6.2030E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,25.0000,10.0000
6.5520E5,false,MISSION_FAIL,true,33455.7600,false,false,false,6.2174E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,25.0000,18.0000
6.5520E5,false,MISSION_FAIL,true,32015.7600,false,false,false,6.2318E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,25.0000,26.0000
6.5520E5,false,MISSION_FAIL,true,31895.7600,false,false,false,6.2330E5,0.0000,6.5520E5,true,0.0000,1800.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,35.0000,10.0000
6.5520E5,false,MISSION_FAIL,true,30455.7600,false,false,false,6.2474E5,0.0000,6.5520E5,true,0.0000,3240.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,35.0000,18.0000
6.5520E5,false,MISSION_FAIL,true,29015.7600,false,false,false,6.2618E5,0.0000,6.5520E5,true,0.0000,4680.0000,-13.0845,5.0000,1.3000,2.5000,0.2500,35.0000,26.0000
